,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
2713,Giovanni Moreno,Attacking Midfield,24,Atl. Nacional,Liga Águila II,Racing Club,Argentina,2010-2011,2000000.0,3200000
2714,Luis Jiménez,Attacking Midfield,26,Inter,Serie A,Ternana,Italy,2010-2011,4000000.0,3180000
2715,Maksym Koval,Goalkeeper,17,Metalurh Z.,Premier Liga,Dynamo Kyiv,Russia,2010-2011,700000.0,3100000
2716,Giuseppe Sculli,Left Winger,29,Genoa,Serie A,Lazio,Italy,2010-2011,5000000.0,3000000
2717,Ronaldinho,Attacking Midfield,30,AC Milan,Serie A,Flamengo,Brazil,2010-2011,27500000.0,3000000
2718,Ibrahim Afellay,Left Midfield,24,PSV Eindhoven,Eredivisie,FC Barcelona,Spain,2010-2011,10000000.0,3000000
2719,Peter Odemwingie,Right Winger,29,Loko Moscow,Premier Liga,West Brom,England,2010-2011,5800000.0,3000000
2720,Javier Pastore,Attacking Midfield,22,US Palermo,Serie A,Paris SG,France,2011-2012,21000000.0,42000000
2721,Sergio Agüero,Centre-Forward,23,Atlético Madrid,LaLiga,Man City,England,2011-2012,36000000.0,40000000
2722,Falcao,Centre-Forward,25,FC Porto,Liga NOS,Atlético Madrid,Spain,2011-2012,25000000.0,40000000
2723,Cesc Fàbregas,Central Midfield,24,Arsenal,Premier League,FC Barcelona,Spain,2011-2012,54000000.0,34000000
2724,Manuel Neuer,Goalkeeper,25,FC Schalke 04,1.Bundesliga,Bayern Munich ,Germany,2011-2012,28000000.0,30000000
2725,Fábio Coentrão,Left-Back,23,Benfica,Liga NOS,Real Madrid,Spain,2011-2012,24000000.0,30000000
2726,Samir Nasri,Left Winger,24,Arsenal,Premier League,Man City,England,2011-2012,26000000.0,27500000
2727,Samuel Eto'o,Centre-Forward,30,Inter,Serie A,Anzhi,Russia,2011-2012,42000000.0,27000000
2728,Juan Mata,Attacking Midfield,23,Valencia CF,LaLiga,Chelsea,England,2011-2012,26000000.0,26700000
2729,Alexis Sánchez,Left Winger,22,Udinese Calcio,Serie A,FC Barcelona,Spain,2011-2012,25000000.0,26000000
2730,David de Gea,Goalkeeper,20,Atlético Madrid,LaLiga,Man Utd,England,2011-2012,12000000.0,25000000
2731,Zlatan Ibrahimovic,Centre-Forward,29,FC Barcelona,LaLiga,AC Milan,Italy,2011-2012,35000000.0,24000000
2732,Santi Cazorla,Central Midfield,26,Villarreal CF,LaLiga,Málaga CF,Spain,2011-2012,18000000.0,23000000
2733,Stewart Downing,Left Midfield,26,Aston Villa,Premier League,Liverpool,England,2011-2012,12000000.0,22800000
2734,Phil Jones,Centre-Back,19,Blackburn,Premier League,Man Utd,England,2011-2012,3500000.0,19300000
2735,Balázs Dzsudzsák,Left Winger,25,Anzhi, Russia,Dinamo Moscow, Russia,2011-2012,14000000.0,19000000
2736,Ashley Young,Left Midfield,25,Aston Villa,Premier League,Man Utd,England,2011-2012,18000000.0,18000000
2737,Gökhan Inler,Defensive Midfield,27,Udinese Calcio,Serie A,SSC Napoli,Italy,2011-2012,15000000.0,18000000
2738,Jordan Henderson,Central Midfield,21,Sunderland,Premier League,Liverpool,England,2011-2012,8500000.0,18000000
2739,Érik Lamela,Right Winger,19,River Plate,Primera B Nacional,AS Roma,Italy,2011-2012,5000000.0,17000000
2740,Daniel Osvaldo,Centre-Forward,25,Espanyol,LaLiga,AS Roma,Italy,2011-2012,10000000.0,16000000
2741,Alessandro Matri,Centre-Forward,26,Cagliari Calcio,Serie A,Juventus,Italy,2011-2012,16500000.0,15500000
2742,Stephan El Shaarawy,Left Winger,18,Genoa,Serie A,AC Milan,Italy,2011-2012,7000000.0,15500000
2743,Mirko Vucinic,Second Striker,27,AS Roma,Serie A,Juventus,Italy,2011-2012,22000000.0,15000000
2744,Romelu Lukaku,Centre-Forward,18,RSC Anderlecht,Jupiler Pro League,Chelsea,England,2011-2012,15000000.0,15000000
2745,Domenico Criscito,Left-Back,24,Genoa,Serie A,Zenit S-Pb,Russia,2011-2012,12500000.0,15000000
2746,Yuri Zhirkov,Left Midfield,27,Chelsea,Premier League,Anzhi,Russia,2011-2012,12000000.0,15000000
2747,Balázs Dzsudzsák,Left Winger,24,PSV Eindhoven,Eredivisie,Anzhi,Russia,2011-2012,14000000.0,14000000
2748,Christopher Samba,Centre-Back,27,Blackburn,Premier League,Anzhi, Russia,2011-2012,12000000.0,14000000
2749,Alex Oxlade-Chamberlain,Right Midfield,17,Southampton,Championship,Arsenal,England,2011-2012,2500000.0,13800000
2750,Raúl Meireles,Central Midfield,28,Liverpool,Premier League,Chelsea,England,2011-2012,16000000.0,13500000
2751,Jérôme Boateng,Centre-Back,22,Man City,Premier League,Bayern Munich ,Germany,2011-2012,15000000.0,13500000
2752,Pizzi,Central Midfield,22,Braga,Liga NOS,Atlético Madrid,Spain,2011-2012,7500000.0,13500000
2753,Eduardo Vargas,Centre-Forward,22,U. de Chile,Primera División,SSC Napoli,Italy,2011-2012,6000000.0,13500000
2754,Arda Turan,Left Winger,24,Galatasaray,Süper Lig,Atlético Madrid,Spain,2011-2012,15500000.0,13000000
2755,Danilo,Right-Back,19,Santos FC,Série A,FC Porto,Portugal,2011-2012,5000000.0,13000000
2756,Roman Eremenko,Attacking Midfield,24,Dynamo Kyiv,Premier Liga,Rubin Kazan,Russia,2011-2012,6500000.0,12900000
2757,Arturo Vidal,Central Midfield,24,Bay. Leverkusen,1.Bundesliga,Juventus,Italy,2011-2012,20000000.0,12500000
2758,Edinson Cavani,Centre-Forward,24,US Palermo,Serie A,SSC Napoli,Italy,2011-2012,24500000.0,12000000
2759,Gervinho,Left Winger,24,LOSC Lille,Ligue 1,Arsenal,England,2011-2012,16000000.0,12000000
2760,Mikel Arteta,Central Midfield,29,Everton,Premier League,Arsenal,England,2011-2012,15000000.0,12000000
2761,Bojan Krkic,Second Striker,20,FC Barcelona,LaLiga,AS Roma,Italy,2011-2012,15000000.0,12000000
2762,Papiss Demba Cissé,Centre-Forward,26,SC Freiburg,1.Bundesliga,Newcastle,England,2011-2012,13500000.0,12000000
2763,Bryan Ruíz,Left Midfield,26,FC Twente,Eredivisie,Fulham,England,2011-2012,12500000.0,12000000
2764,Stefan Savic,Centre-Back,20,Partizan,SuperLiga,Man City,England,2011-2012,6000000.0,12000000
2765,Thiago Motta,Defensive Midfield,29,Inter,Serie A,Paris SG,France,2011-2012,15000000.0,11500000
2766,Per Mertesacker,Centre-Back,26,Werder Bremen,1.Bundesliga,Arsenal,England,2011-2012,10000000.0,11300000
2767,Peter Crouch,Centre-Forward,30,Spurs,Premier League,Stoke City,England,2011-2012,10000000.0,11300000
2768,Jérémy Toulalan,Defensive Midfield,27,Olympique Lyon,Ligue 1,Málaga CF,Spain,2011-2012,18000000.0,11000000
2769,Kévin Gameiro,Centre-Forward,24,FC Lorient,Ligue 1,Paris SG,France,2011-2012,13500000.0,11000000
2770,Miralem Pjanic,Central Midfield,21,Olympique Lyon,Ligue 1,AS Roma,Italy,2011-2012,9000000.0,11000000
2771,Charles N'Zogbia,Right Winger,25,Wigan,Premier League,Aston Villa,England,2011-2012,9000000.0,10800000
2772,Fabio Quagliarella,Centre-Forward,28,SSC Napoli,Serie A,Juventus,Italy,2011-2012,17500000.0,10500000
2773,Ricardo Álvarez,Attacking Midfield,23,Vélez Sarsfield,Torneo Final,Inter,Italy,2011-2012,3500000.0,10500000
2774,Nuri Sahin,Defensive Midfield,22,Bor. Dortmund,1.Bundesliga,Real Madrid,Spain,2011-2012,20000000.0,10000000
2775,Marco Borriello,Centre-Forward,29,AC Milan,Serie A,AS Roma,Italy,2011-2012,13000000.0,10000000
2776,Moussa Sow,Centre-Forward,26,LOSC Lille,Ligue 1,Fenerbahce,Turkey,2011-2012,12000000.0,10000000
2777,Vágner Love,Centre-Forward,27,CSKA Moscow, Russia,Flamengo,Brazil,2011-2012,12000000.0,10000000
2778,Emmanuel Emenike,Centre-Forward,24,Fenerbahce,Süper Lig,Spartak Moscow,Russia,2011-2012,6000000.0,10000000
2779,Bernd Leno,Goalkeeper,19,VfB Stuttgart,1.Bundesliga,Bay. Leverkusen,Germany,2011-2012,5000000.0,10000000
2780,Raphaël Varane,Centre-Back,18,Lens,Ligue 2,Real Madrid,Spain,2011-2012,4000000.0,10000000
2781,Stephan Lichtsteiner,Right-Back,27,Lazio,Serie A,Juventus,Italy,2011-2012,9000000.0,9930000
2782,Alex Sandro,Left-Back,20,Maldonado,Segunda División,FC Porto,Portugal,2011-2012,1800000.0,9600000
2783,Wilson Palacios,Defensive Midfield,26,Spurs,Premier League,Stoke City,England,2011-2012,14000000.0,9000000
2784,Eljero Elia,Left Winger,24,Hamburger SV,1.Bundesliga,Juventus,Italy,2011-2012,12500000.0,9000000
2785,Christian Träsch,Defensive Midfield,23,VfB Stuttgart,1.Bundesliga,VfL Wolfsburg,Germany,2011-2012,10000000.0,9000000
2786,Axel Witsel,Central Midfield,22,Standard Liège,Jupiler Pro League,Benfica,Portugal,2011-2012,10000000.0,9000000
2787,Cristián Zapata,Centre-Back,24,Udinese Calcio,Serie A,Villarreal CF,Spain,2011-2012,9000000.0,9000000
2788,Dimitri Payet,Attacking Midfield,24,Saint-Étienne,Ligue 1,LOSC Lille,France,2011-2012,9000000.0,9000000
2789,Sébastien Frey,Goalkeeper,31,Fiorentina,Serie A,Genoa,Italy,2011-2012,8500000.0,9000000
2790,Roman Pavlyuchenko,Centre-Forward,30,Spurs,Premier League,Loko Moscow, Russia,2011-2012,8500000.0,9000000
2791,Emmanuel Emenike,Centre-Forward,24,Karabükspor,Süper Lig,Fenerbahce,Turkey,2011-2012,6000000.0,9000000
2792,Brown Ideye,Centre-Forward,22,FC Sochaux,Ligue 1,Dynamo Kyiv,Russia,2011-2012,6000000.0,9000000
2793,Blerim Dzemaili,Central Midfield,25,Parma,Serie A,SSC Napoli,Italy,2011-2012,5000000.0,9000000
2794,Connor Wickham,Centre-Forward,18,Ipswich,Championship,Sunderland,England,2011-2012,4000000.0,9000000
2795,Miguel Britos,Centre-Back,26,Bologna,Serie A,SSC Napoli,Italy,2011-2012,3500000.0,9000000
2796,Thibaut Courtois,Goalkeeper,19,KRC Genk,Jupiler Pro League,Chelsea,England,2011-2012,4000000.0,8950000
2797,Elias,Central Midfield,26,Atlético Madrid,LaLiga,Sporting CP,Portugal,2011-2012,7000000.0,8850000
2798,Roberto,Goalkeeper,25,Benfica,Liga NOS,Real Zaragoza,Spain,2011-2012,5600000.0,8600000
2799,André Schürrle,Left Winger,20,1.FSV Mainz 05,1.Bundesliga,Bay. Leverkusen,Germany,2011-2012,12500000.0,8500000
2800,Emiliano Viviano,Goalkeeper,26,Inter,Serie A,US Palermo,Italy,2011-2012,10000000.0,8500000
2801,Ricardo Rodríguez,Left-Back,19,FC Zürich,Super League,VfL Wolfsburg,Germany,2011-2012,7500000.0,8500000
2802,Dries Mertens,Centre-Forward,24,FC Utrecht,Eredivisie,PSV Eindhoven,Netherlands,2011-2012,6000000.0,8500000
2803,Gary Cahill,Centre-Back,26,Bolton,Premier League,Chelsea,England,2011-2012,13000000.0,8400000
2804,Charlie Adam,Central Midfield,25,Blackpool,Championship,Liverpool,England,2011-2012,4500000.0,8400000
2805,Darío Conca,Attacking Midfield,28,Fluminense,Série A,GZ Evergrande,China,2011-2012,6000000.0,8200000
2806,Alberto Gilardino,Centre-Forward,29,Fiorentina,Serie A,Genoa,Italy,2011-2012,16000000.0,8000000
2807,Jérémy Ménez,Second Striker,24,AS Roma,Serie A,Paris SG,France,2011-2012,15000000.0,8000000
2808,Kevin De Bruyne,Attacking Midfield,20,KRC Genk,Jupiler Pro League,Chelsea,England,2011-2012,9000000.0,8000000
2809,Christian Noboa,Central Midfield,26,Rubin Kazan, Russia,Dinamo Moscow, Russia,2011-2012,8000000.0,8000000
2810,Víctor Ruiz,Centre-Back,22,SSC Napoli,Serie A,Valencia CF,Spain,2011-2012,8000000.0,8000000
2811,Blaise Matuidi,Central Midfield,24,Saint-Étienne,Ligue 1,Paris SG,France,2011-2012,8000000.0,8000000
2812,José Enrique,Left-Back,25,Newcastle,Premier League,Liverpool,England,2011-2012,7500000.0,8000000
2813,Sílvio,Right-Back,23,Braga,Liga NOS,Atlético Madrid,Spain,2011-2012,7500000.0,8000000
2814,Mohamed Sissoko,Defensive Midfield,26,Juventus,Serie A,Paris SG,France,2011-2012,7500000.0,8000000
2815,Christian Benítez,Centre-Forward,25,Santos Laguna,Liga MX Clausura,América,Mexico,2011-2012,6500000.0,8000000
2816,Roger Johnson,Centre-Back,28,Birmingham,Championship,Wolves,England,2011-2012,5000000.0,8000000
2817,Jonathan de Guzmán,Central Midfield,23,RCD Mallorca,LaLiga,Villarreal CF,Spain,2011-2012,5000000.0,8000000
2818,Nolan Roux,Centre-Forward,23,Stade Brest 29,Ligue 1,LOSC Lille,France,2011-2012,4750000.0,8000000
2819,Matías Silvestre,Centre-Back,26,Catania,Serie A,US Palermo,Italy,2011-2012,3500000.0,8000000
2820,Sebastián Coates,Centre-Back,20,Nacional,Primera División,Liverpool,England,2011-2012,2500000.0,8000000
2821,Gaël Clichy,Left-Back,25,Arsenal,Premier League,Man City,England,2011-2012,15000000.0,7750000
2822,Fabio Borini,Left Winger,20,Parma,Serie A,AS Roma,Italy,2011-2012,4800000.0,7600000
2823,Kevin-Prince Boateng,Central Midfield,24,Genoa,Serie A,AC Milan,Italy,2011-2012,15000000.0,7500000
2824,Mamadou Niang,Centre-Forward,31,Fenerbahce,Süper Lig,Al Sadd,Qatar,2011-2012,11500000.0,7500000
2825,Simone Pepe,Right Winger,27,Udinese Calcio,Serie A,Juventus,Italy,2011-2012,9000000.0,7500000
2826,Pablo Piatti,Left Winger,22,UD Almería,LaLiga2,Valencia CF,Spain,2011-2012,9000000.0,7500000
2827,Lucas Piazón,Left Winger,18,FC São Paulo B, Brazil,Chelsea,England,2011-2012,7500000.0,7500000
2828,Ander Herrera,Central Midfield,21,Real Zaragoza,LaLiga,Athletic Bilbao,Spain,2011-2012,7500000.0,7500000
2829,Youssef El Arabi,Centre-Forward,24,SM Caen,Ligue 1,Hilal,Saudi Arabia,2011-2012,6500000.0,7500000
2830,Felipe Caicedo,Centre-Forward,22,Levante UD,LaLiga,Loko Moscow,Russia,2011-2012,5000000.0,7500000
2831,Dentinho,Attacking Midfield,22,Corinthians,Série A,Shakhtar D.,Russia,2011-2012,3000000.0,7500000
2832,Maarten Stekelenburg,Goalkeeper,28,AFC Ajax,Eredivisie,AS Roma,Italy,2011-2012,11000000.0,7330000
2833,Emanuele Giaccherini,Left Winger,26,RC Cesena,Serie A,Juventus,Italy,2011-2012,5000000.0,7250000
2834,André Santos,Attacking Midfield,28,Fenerbahce,Süper Lig,Arsenal,England,2011-2012,8500000.0,7000000
2835,Kévin Constant,Defensive Midfield,24,Chievo Verona,Serie A,Genoa,Italy,2011-2012,5500000.0,7000000
2836,Tim Matavz,Centre-Forward,22,FC Groningen,Eredivisie,PSV Eindhoven,Netherlands,2011-2012,5500000.0,7000000
2837,Thiago Neves,Attacking Midfield,26,Hilal,Professional League,Fluminense,Brazil,2011-2012,4500000.0,7000000
2838,Diego Tardelli,Centre-Forward,26,Anzhi, Russia,Al Gharafa,Qatar,2011-2012,2500000.0,7000000
2839,Scott Dann,Centre-Back,24,Birmingham,Championship,Blackburn,England,2011-2012,4500000.0,6800000
2840,Fernando Muslera,Goalkeeper,25,Lazio,Serie A,Galatasaray,Turkey,2011-2012,12000000.0,6750000
2841,Eliaquim Mangala,Centre-Back,20,Standard Liège,Jupiler Pro League,FC Porto,Portugal,2011-2012,5000000.0,6750000
2842,Diniyar Bilyaletdinov,Attacking Midfield,26,Everton,Premier League,Spartak Moscow, Russia,2011-2012,6500000.0,6700000
2843,Mevlüt Erdinc,Centre-Forward,24,Paris SG,Ligue 1,Stade Rennais,France,2011-2012,7250000.0,6600000
2844,Nikica Jelavic,Centre-Forward,26,Rangers,Premiership,Everton,England,2011-2012,5000000.0,6600000
2845,Craig Gardner,Central Midfield,24,Birmingham,Championship,Sunderland,England,2011-2012,4000000.0,6600000
2846,Ju-yeong Park,Centre-Forward,26,Monaco,Ligue 2,Arsenal,England,2011-2012,7000000.0,6500000
2847,Alexander Merkel,Central Midfield,19,AC Milan,Serie A,Genoa,Italy,2011-2012,3500000.0,6500000
2848,Scott Parker,Central Midfield,30,West Ham,Championship,Spurs,England,2011-2012,14000000.0,6200000
2849,Borja Valero,Central Midfield,26,West Brom,Premier League,Villarreal CF,Spain,2011-2012,12000000.0,6000000
2850,Adil Rami,Centre-Back,25,LOSC Lille,Ligue 1,Valencia CF,Spain,2011-2012,12000000.0,6000000
2851,Steven Defour,Central Midfield,23,Standard Liège,Jupiler Pro League,FC Porto,Portugal,2011-2012,12000000.0,6000000
2852,Dani Parejo,Central Midfield,22,Getafe CF,LaLiga,Valencia CF,Spain,2011-2012,8000000.0,6000000
2853,Nacho Monreal,Left-Back,25,CA Osasuna,LaLiga,Málaga CF,Spain,2011-2012,7000000.0,6000000
2854,Demy de Zeeuw,Central Midfield,28,AFC Ajax,Eredivisie,Spartak Moscow,Russia,2011-2012,6500000.0,6000000
2855,Emmanuel Rivière,Centre-Forward,21,Saint-Étienne,Ligue 1,Toulouse,France,2011-2012,5250000.0,6000000
2856,Wesley,Central Midfield,24,Werder Bremen,1.Bundesliga,Palmeiras,Brazil,2011-2012,4500000.0,6000000
2857,Nikola Kalinic,Centre-Forward,23,Blackburn,Premier League,Dnipro,Russia,2011-2012,4500000.0,6000000
2858,Nabil Dirar,Right Midfield,25,Club Brugge,Jupiler Pro League,Monaco,France,2011-2012,3500000.0,6000000
2859,Fernando,Defensive Midfield,30,G. Bordeaux,Ligue 1,Shabab,Saudi Arabia,2011-2012,3000000.0,6000000
2860,Marcelo Moreno,Centre-Forward,24,Shakhtar D.,Premier Liga,Grêmio,Brazil,2011-2012,2800000.0,6000000
2861,Isco,Attacking Midfield,19,Valencia B,2ª B - Grupo III,Málaga CF,Spain,2011-2012,,6000000
2862,Djibril Cissé,Centre-Forward,29,Panathinaikos,Super League,Lazio,Italy,2011-2012,14000000.0,5800000
2863,Bobby Zamora,Centre-Forward,31,Fulham,Premier League,QPR,England,2011-2012,8000000.0,5800000
2864,Giovanni Sio,Centre-Forward,22,FC Sion,Super League,VfL Wolfsburg,Germany,2011-2012,4500000.0,5800000
2865,Mehdi Carcela-González,Right Winger,22,Standard Liège,Jupiler Pro League,Anzhi,Russia,2011-2012,4000000.0,5700000
2866,Davide Santon,Left-Back,20,Inter,Serie A,Newcastle,England,2011-2012,7500000.0,5650000
2867,Ezequiel Garay,Centre-Back,24,Real Madrid,LaLiga,Benfica,Portugal,2011-2012,10000000.0,5500000
2868,Rafinha,Right-Back,25,Genoa,Serie A,Bayern Munich ,Germany,2011-2012,8000000.0,5500000
2869,Ilkay Gündogan,Central Midfield,20,1.FC Nuremberg,1.Bundesliga,Bor. Dortmund,Germany,2011-2012,6500000.0,5500000
2870,Bruno César,Left Midfield,22,Corinthians,Série A,Benfica,Portugal,2011-2012,6000000.0,5500000
2871,Ivan Perisic,Left Winger,22,Club Brugge,Jupiler Pro League,Bor. Dortmund,Germany,2011-2012,6000000.0,5500000
2872,Leroy Fer,Central Midfield,21,Feyenoord,Eredivisie,FC Twente,Netherlands,2011-2012,5500000.0,5500000
2873,Maxi Moralez,Attacking Midfield,24,Vélez Sarsfield,Torneo Final,Atalanta,Italy,2011-2012,5000000.0,5300000
2874,Édgar Barreto,Central Midfield,27,Atalanta,Serie A,US Palermo,Italy,2011-2012,3500000.0,5300000
2875,Matt Mills,Centre-Back,24,Reading,Championship,Leicester,England,2011-2012,750000.0,5300000
2876,Adrian Mierzejewski,Attacking Midfield,24,Pol. Warsaw,Ekstraklasa,Trabzonspor,Turkey,2011-2012,3000000.0,5250000
2877,Federico Marchetti,Goalkeeper,28,Cagliari Calcio,Serie A,Lazio,Italy,2011-2012,5500000.0,5200000
2878,Shane Long,Centre-Forward,24,Reading,Championship,West Brom,England,2011-2012,2000000.0,5100000
2879,Ricky van Wolfswinkel,Centre-Forward,22,FC Utrecht,Eredivisie,Sporting CP,Portugal,2011-2012,6000000.0,5080000
2880,Alex,Centre-Back,29,Chelsea,Premier League,Paris SG,France,2011-2012,13000000.0,5000000
2881,Alou Diarra,Defensive Midfield,29,G. Bordeaux,Ligue 1,Marseille,France,2011-2012,12000000.0,5000000
2882,Yohan Cabaye,Central Midfield,25,LOSC Lille,Ligue 1,Newcastle,England,2011-2012,11000000.0,5000000
2883,Didier Zokora,Defensive Midfield,30,Sevilla FC,LaLiga,Trabzonspor,Turkey,2011-2012,10000000.0,5000000
2884,Diego Forlán,Second Striker,32,Atlético Madrid,LaLiga,Inter,Italy,2011-2012,10000000.0,5000000
2885,Mehmet Ekici,Attacking Midfield,21,Bayern Munich ,1.Bundesliga,Werder Bremen,Germany,2011-2012,6500000.0,5000000
2886,José Callejón,Right Winger,24,Espanyol,LaLiga,Real Madrid,Spain,2011-2012,6500000.0,5000000
2887,Georginio Wijnaldum,Central Midfield,20,Feyenoord,Eredivisie,PSV Eindhoven,Netherlands,2011-2012,6500000.0,5000000
2888,Djibril Cissé,Centre-Forward,30,Lazio,Serie A,QPR,England,2011-2012,6000000.0,5000000
2889,Ikechukwu Uche,Centre-Forward,27,Real Zaragoza,LaLiga,Villarreal CF,Spain,2011-2012,5000000.0,5000000
2890,Ahmed Musa,Centre-Forward,19,VVV-Venlo,Eredivisie,CSKA Moscow, Russia,2011-2012,5000000.0,5000000
2891,Rúben Micael,Attacking Midfield,24,FC Porto,Liga NOS,Atlético Madrid,Spain,2011-2012,4900000.0,5000000
2892,Gabriel Torje,Right Winger,21,Dinamo Bukarest,Liga 1,Udinese Calcio,Italy,2011-2012,4500000.0,5000000
2893,Jonathan,Right-Back,25,Santos FC,Série A,Inter,Italy,2011-2012,4500000.0,5000000
2894,Éder,Second Striker,24,Brescia,Serie B,RC Cesena,Italy,2011-2012,4200000.0,5000000
2895,Ibson,Central Midfield,27,Spartak Moscow,Premier Liga,Santos FC,Brazil,2011-2012,3500000.0,5000000
2896,Simone Padoin,Central Midfield,27,Atalanta,Serie A,Juventus,Italy,2011-2012,3500000.0,5000000
2897,Sergey Davydov,Centre-Forward,26,Kuban Krasnodar, Russia,Rubin Kazan, Russia,2011-2012,3000000.0,5000000
2898,Nemanja Matic,Defensive Midfield,22,Chelsea,Premier League,Benfica,Portugal,2011-2012,3000000.0,5000000
2899,Dudu,Right Midfield,19,Cruzeiro,Série A,Dynamo Kyiv,Russia,2011-2012,750000.0,5000000
2900,Derek Boateng,Defensive Midfield,28,Getafe CF,LaLiga,Dnipro,Russia,2011-2012,2500000.0,4880000
2901,Alessandro Diamanti,Second Striker,28,Brescia,Serie B,Bologna,Italy,2011-2012,4000000.0,4860000
2902,Alexander Gerndt,Centre-Forward,25,Helsingborg,Allsvenskan,FC Utrecht,Netherlands,2011-2012,4000000.0,4800000
2903,Serdar Kesimal,Centre-Back,22,Kayserispor,Süper Lig,Fenerbahce,Turkey,2011-2012,6000000.0,4750000
2904,Nedum Onuoha,Centre-Back,25,Man City,Premier League,QPR,England,2011-2012,7500000.0,4700000
2905,Jean Beausejour,Left-Back,27,Birmingham,Championship,Wigan,England,2011-2012,2000000.0,4700000
2906,Oriol Romeu,Defensive Midfield,19,FC Barcelona B,LaLiga2,Chelsea,England,2011-2012,2500000.0,4600000
2907,Yuto Nagatomo,Left-Back,24,RC Cesena,Serie A,Inter,Italy,2011-2012,8500000.0,4500000
2908,Shaun Wright-Phillips,Right Winger,29,Man City,Premier League,QPR,England,2011-2012,8000000.0,4500000
2909,Alan Hutton,Right-Back,26,Spurs,Premier League,Aston Villa,England,2011-2012,7500000.0,4500000
2910,Achille Emaná,Attacking Midfield,29,Real Betis,LaLiga,Hilal,Saudi Arabia,2011-2012,7000000.0,4500000
2911,John O'Shea,Centre-Back,30,Man Utd,Premier League,Sunderland,England,2011-2012,6500000.0,4500000
2912,Jajá,Centre-Forward,25,Trabzonspor,Süper Lig,Al-Ahli (UAE), United Arab Emirates,2011-2012,6000000.0,4500000
2913,Vedad Ibisevic,Centre-Forward,27,TSG Hoffenheim,1.Bundesliga,VfB Stuttgart,Germany,2011-2012,6000000.0,4500000
2914,Andrea Lazzari,Central Midfield,26,Cagliari Calcio,Serie A,Fiorentina,Italy,2011-2012,5500000.0,4500000
2915,Manu del Moral,Centre-Forward,27,Getafe CF,LaLiga,Sevilla FC,Spain,2011-2012,5500000.0,4500000
2916,David N'Gog,Centre-Forward,22,Liverpool,Premier League,Bolton,England,2011-2012,5000000.0,4500000
2917,Cameron Jerome,Centre-Forward,25,Birmingham,Championship,Stoke City,England,2011-2012,4500000.0,4500000
2918,Kevin Strootman,Central Midfield,21,FC Utrecht,Eredivisie,PSV Eindhoven,Netherlands,2011-2012,4000000.0,4500000
2919,Pape Diakhaté,Centre-Back,27,Dynamo Kyiv,Premier Liga,Granada CF,Spain,2011-2012,3750000.0,4500000
2920,Jonathan Legear,Right Winger,24,RSC Anderlecht,Jupiler Pro League,Akhmat Grozny,Russia,2011-2012,3500000.0,4500000
2921,Zé Love,Second Striker,23,Santos FC,Série A,Genoa,Italy,2011-2012,3000000.0,4500000
2922,Nacer Barazite,Attacking Midfield,21,Austria Vienna,Bundesliga,Monaco,France,2011-2012,3000000.0,4500000
2923,José Ángel,Left-Back,21,Sporting Gijón,LaLiga,AS Roma,Italy,2011-2012,3000000.0,4500000
2924,Diego Buonanotte,Attacking Midfield,23,River Plate,Primera B Nacional,Málaga CF,Spain,2011-2012,2700000.0,4500000
2925,Franco Vázquez,Attacking Midfield,22,Belgrano,Torneo Final,US Palermo,Italy,2011-2012,2400000.0,4500000
2926,Ali Al-Habsi,Goalkeeper,29,Bolton,Premier League,Wigan,England,2011-2012,2000000.0,4300000
2927,Joaquín,Right Winger,29,Valencia CF,LaLiga,Málaga CF,Spain,2011-2012,10000000.0,4200000
2928,Mirel Radoi,Defensive Midfield,30,Hilal,Professional League,Al-Ain FC, United Arab Emirates,2011-2012,3000000.0,4200000
2929,Emiliano Viviano,Goalkeeper,25,Bologna,Serie A,Inter,Italy,2011-2012,12000000.0,4100000
2930,Vieirinha,Left-Back,25,PAOK Saloniki,Super League,VfL Wolfsburg,Germany,2011-2012,8000000.0,4000000
2931,Jádson,Attacking Midfield,28,Shakhtar D.,Premier Liga,São Paulo,Brazil,2011-2012,7500000.0,4000000
2932,Abdoulay Konko,Right-Back,27,Genoa,Serie A,Lazio,Italy,2011-2012,5000000.0,4000000
2933,Julien Féret,Central Midfield,29,AS Nancy,Ligue 1,Stade Rennais,France,2011-2012,5000000.0,4000000
2934,Nelson Valdez,Centre-Forward,27,Hércules CF,LaLiga2,Rubin Kazan,Russia,2011-2012,5000000.0,4000000
2935,Ivo Ilicevic,Left Winger,24,1.FC K'lautern,1.Bundesliga,Hamburger SV,Germany,2011-2012,5000000.0,4000000
2936,Sokratis,Centre-Back,23,AC Milan,Serie A,Genoa,Italy,2011-2012,5000000.0,4000000
2937,Mustafa Pektemek,Centre-Forward,22,Genclerbirligi,Süper Lig,Besiktas,Turkey,2011-2012,4500000.0,4000000
2938,Vladimir Gabulov,Goalkeeper,27,Dinamo Moscow,Premier Liga,Anzhi,Russia,2011-2012,3800000.0,4000000
2939,Kolbeinn Sigthórsson,Centre-Forward,21,AZ Alkmaar,Eredivisie,AFC Ajax,Netherlands,2011-2012,3500000.0,4000000
2940,Marlos,Right Winger,23,Rentistas,Primera División,Metalist,Russia,2011-2012,3000000.0,4000000
2941,Henri Bienvenu,Centre-Forward,23,BSC Young Boys,Super League,Fenerbahce,Turkey,2011-2012,2500000.0,4000000
